"REF_DATE","GEO","DGUID","Sex","Age group","Ailments","Frequency","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Austria","","Males","13 years","Feeling tired in the morning","Once in a while","Percent","239","units ","0","v668921","1.1.2.9.5","40","","","","0"
"1990","Austria","","Males","13 years","Feeling tired in the morning","Seldom/never","Percent","239","units ","0","v668920","1.1.2.9.8","16","","","","0"
"1990","Austria","","Males","15 years","Headache","Often","Percent","239","units ","0","v664816","1.1.3.1.1","5","","","t","0"
"1990","Austria","","Males","15 years","Headache","Sometimes","Percent","239","units ","0","v664817","1.1.3.1.4","10","","","t","0"
"1990","Austria","","Males","15 years","Headache","Seldom","Percent","239","units ","0","v664818","1.1.3.1.6","37","","","t","0"
"1990","Austria","","Males","15 years","Headache","Never","Percent","239","units ","0","v664819","1.1.3.1.7","48","","","t","0"
"1990","Austria","","Males","15 years","Stomach ache","Often","Percent","239","units ","0","v665336","1.1.3.2.1","2","","","t","0"
"1990","Austria","","Males","15 years","Stomach ache","Sometimes","Percent","239","units ","0","v665337","1.1.3.2.4","5","","","t","0"
"1990","Austria","","Males","15 years","Stomach ache","Seldom","Percent","239","units ","0","v665338","1.1.3.2.6","25","","","t","0"
"1990","Austria","","Males","15 years","Stomach ache","Never","Percent","239","units ","0","v665339","1.1.3.2.7","68","","","t","0"
"1990","Austria","","Males","15 years","Backache","Often","Percent","239","units ","0","v665856","1.1.3.3.1","8","","","t","0"
"1990","Austria","","Males","15 years","Backache","Sometimes","Percent","239","units ","0","v665857","1.1.3.3.4","10","","","t","0"
"1990","Austria","","Males","15 years","Backache","Seldom","Percent","239","units ","0","v665858","1.1.3.3.6","27","","","t","0"
"1990","Austria","","Males","15 years","Backache","Never","Percent","239","units ","0","v665859","1.1.3.3.7","55","","","t","0"
"1990","Austria","","Males","15 years","Feeling low (depressed)","Often","Percent","239","units ","0","v666384","1.1.3.4.1","2","","","t","0"
"1990","Austria","","Males","15 years","Feeling low (depressed)","Sometimes","Percent","239","units ","0","v666385","1.1.3.4.4","4","","","t","0"
"1990","Austria","","Males","15 years","Feeling low (depressed)","Seldom","Percent","239","units ","0","v666386","1.1.3.4.6","22","","","t","0"
"1990","Austria","","Males","15 years","Feeling low (depressed)","Never","Percent","239","units ","0","v666387","1.1.3.4.7","72","","","t","0"
"1990","Austria","","Males","15 years","Bad temper (irritability)","Often","Percent","239","units ","0","v666912","1.1.3.5.1","11","","","t","0"
"1990","Austria","","Males","15 years","Bad temper (irritability)","Sometimes","Percent","239","units ","0","v666913","1.1.3.5.4","18","","","t","0"
"1990","Austria","","Males","15 years","Bad temper (irritability)","Seldom","Percent","239","units ","0","v666914","1.1.3.5.6","34","","","t","0"
"1990","Austria","","Males","15 years","Bad temper (irritability)","Never","Percent","239","units ","0","v666915","1.1.3.5.7","37","","","t","0"
"1990","Austria","","Males","15 years","Feeling nervous","Often","Percent","239","units ","0","v667456","1.1.3.6.1","10","","","t","0"
"1990","Austria","","Males","15 years","Feeling nervous","Sometimes","Percent","239","units ","0","v667457","1.1.3.6.4","14","","","t","0"
"1990","Austria","","Males","15 years","Feeling nervous","Seldom","Percent","239","units ","0","v667458","1.1.3.6.6","29","","","t","0"
"1990","Austria","","Males","15 years","Feeling nervous","Never","Percent","239","units ","0","v667459","1.1.3.6.7","47","","","t","0"
"1990","Austria","","Males","15 years","Difficulty getting to sleep","Often","Percent","239","units ","0","v668008","1.1.3.7.1","11","","","t","0"
"1990","Austria","","Males","15 years","Difficulty getting to sleep","Sometimes","Percent","239","units ","0","v668009","1.1.3.7.4","9","","","t","0"
"1990","Austria","","Males","15 years","Difficulty getting to sleep","Seldom","Percent","239","units ","0","v668010","1.1.3.7.6","21","","","t","0"
"1990","Austria","","Males","15 years","Difficulty getting to sleep","Never","Percent","239","units ","0","v668011","1.1.3.7.7","60","","","t","0"
"1990","Austria","","Males","15 years","Feeling dizzy","Often","Percent","239","units ","0","v668560","1.1.3.8.1","4","","","t","0"
"1990","Austria","","Males","15 years","Feeling dizzy","Sometimes","Percent","239","units ","0","v668561","1.1.3.8.4","7","","","t","0"
"1990","Austria","","Males","15 years","Feeling dizzy","Seldom","Percent","239","units ","0","v668562","1.1.3.8.6","17","","","t","0"
"1990","Austria","","Males","15 years","Feeling dizzy","Never","Percent","239","units ","0","v668563","1.1.3.8.7","72","","","t","0"
"1990","Austria","","Males","15 years","Feeling tired in the morning","4 or more times a week","Percent","239","units ","0","v669099","1.1.3.9.2","40","","","","0"
"1990","Austria","","Males","15 years","Feeling tired in the morning","1 to 3 times a week","Percent","239","units ","0","v669098","1.1.3.9.3","19","","","","0"
"1990","Austria","","Males","15 years","Feeling tired in the morning","Once in a while","Percent","239","units ","0","v669097","1.1.3.9.5","31","","","","0"
"1990","Austria","","Males","15 years","Feeling tired in the morning","Seldom/never","Percent","239","units ","0","v669096","1.1.3.9.8","11","","","","0"
"1990","Austria","","Females","11 years","Headache","Often","Percent","239","units ","0","v664452","1.2.1.1.1","14","","","t","0"
"1990","Austria","","Females","11 years","Headache","Sometimes","Percent","239","units ","0","v664453","1.2.1.1.4","11","","","t","0"
"1990","Austria","","Females","11 years","Headache","Seldom","Percent","239","units ","0","v664454","1.2.1.1.6","32","","","t","0"
"1990","Austria","","Females","11 years","Headache","Never","Percent","239","units ","0","v664455","1.2.1.1.7","43","","","t","0"
"1990","Austria","","Females","11 years","Stomach ache","Often","Percent","239","units ","0","v665004","1.2.1.2.1","8","","","t","0"
"1990","Austria","","Females","11 years","Stomach ache","Sometimes","Percent","239","units ","0","v665005","1.2.1.2.4","11","","","t","0"
"1990","Austria","","Females","11 years","Stomach ache","Seldom","Percent","239","units ","0","v665006","1.2.1.2.6","23","","","t","0"
"1990","Austria","","Females","11 years","Stomach ache","Never","Percent","239","units ","0","v665007","1.2.1.2.7","58","","","t","0"
"1990","Austria","","Females","11 years","Backache","Often","Percent","239","units ","0","v665508","1.2.1.3.1","3","","","t","0"
"1990","Austria","","Females","11 years","Backache","Sometimes","Percent","239","units ","0","v665509","1.2.1.3.4","4","","","t","0"
"1990","Austria","","Females","11 years","Backache","Seldom","Percent","239","units ","0","v665510","1.2.1.3.6","14","","","t","0"
"1990","Austria","","Females","11 years","Backache","Never","Percent","239","units ","0","v665511","1.2.1.3.7","79","","","t","0"
"1990","Austria","","Females","11 years","Feeling low (depressed)","Often","Percent","239","units ","0","v666036","1.2.1.4.1","5","","","t","0"
"1990","Austria","","Females","11 years","Feeling low (depressed)","Sometimes","Percent","239","units ","0","v666037","1.2.1.4.4","4","","","t","0"
"1990","Austria","","Females","11 years","Feeling low (depressed)","Seldom","Percent","239","units ","0","v666038","1.2.1.4.6","22","","","t","0"
"1990","Austria","","Females","11 years","Feeling low (depressed)","Never","Percent","239","units ","0","v666039","1.2.1.4.7","69","","","t","0"
"1990","Austria","","Females","11 years","Bad temper (irritability)","Often","Percent","239","units ","0","v666564","1.2.1.5.1","11","","","t","0"
"1990","Austria","","Females","11 years","Bad temper (irritability)","Sometimes","Percent","239","units ","0","v666565","1.2.1.5.4","12","","","t","0"
"1990","Austria","","Females","11 years","Bad temper (irritability)","Seldom","Percent","239","units ","0","v666566","1.2.1.5.6","36","","","t","0"
"1990","Austria","","Females","11 years","Bad temper (irritability)","Never","Percent","239","units ","0","v666567","1.2.1.5.7","41","","","t","0"
"1990","Austria","","Females","11 years","Feeling nervous","Often","Percent","239","units ","0","v667092","1.2.1.6.1","14","","","t","0"
"1990","Austria","","Females","11 years","Feeling nervous","Sometimes","Percent","239","units ","0","v667093","1.2.1.6.4","8","","","t","0"
"1990","Austria","","Females","11 years","Feeling nervous","Seldom","Percent","239","units ","0","v667094","1.2.1.6.6","28","","","t","0"
"1990","Austria","","Females","11 years","Feeling nervous","Never","Percent","239","units ","0","v667095","1.2.1.6.7","51","","","t","0"
"1990","Austria","","Females","11 years","Difficulty getting to sleep","Often","Percent","239","units ","0","v667644","1.2.1.7.1","17","","","t","0"
"1990","Austria","","Females","11 years","Difficulty getting to sleep","Sometimes","Percent","239","units ","0","v667645","1.2.1.7.4","7","","","t","0"
"1990","Austria","","Females","11 years","Difficulty getting to sleep","Seldom","Percent","239","units ","0","v667646","1.2.1.7.6","21","","","t","0"
"1990","Austria","","Females","11 years","Difficulty getting to sleep","Never","Percent","239","units ","0","v667647","1.2.1.7.7","55","","","t","0"
"1990","Austria","","Females","11 years","Feeling dizzy","Often","Percent","239","units ","0","v668196","1.2.1.8.1","6","","","t","0"
"1990","Austria","","Females","11 years","Feeling dizzy","Sometimes","Percent","239","units ","0","v668197","1.2.1.8.4","6","","","t","0"
"1990","Austria","","Females","11 years","Feeling dizzy","Seldom","Percent","239","units ","0","v668198","1.2.1.8.6","13","","","t","0"
"1990","Austria","","Females","11 years","Feeling dizzy","Never","Percent","239","units ","0","v668199","1.2.1.8.7","75","","","t","0"
"1990","Austria","","Females","11 years","Feeling tired in the morning","4 or more times a week","Percent","239","units ","0","v668751","1.2.1.9.2","22","","","","0"
"1990","Austria","","Females","11 years","Feeling tired in the morning","1 to 3 times a week","Percent","239","units ","0","v668750","1.2.1.9.3","16","","","","0"
"1990","Austria","","Females","11 years","Feeling tired in the morning","Once in a while","Percent","239","units ","0","v668749","1.2.1.9.5","40","","","","0"
"1990","Austria","","Females","11 years","Feeling tired in the morning","Seldom/never","Percent","239","units ","0","v668748","1.2.1.9.8","22","","","","0"
"1990","Austria","","Females","13 years","Headache","Often","Percent","239","units ","0","v664636","1.2.2.1.1","14","","","t","0"
"1990","Austria","","Females","13 years","Headache","Sometimes","Percent","239","units ","0","v664637","1.2.2.1.4","14","","","t","0"
"1990","Austria","","Females","13 years","Headache","Seldom","Percent","239","units ","0","v664638","1.2.2.1.6","37","","","t","0"
"1990","Austria","","Females","13 years","Headache","Never","Percent","239","units ","0","v664639","1.2.2.1.7","35","","","t","0"
"1990","Austria","","Females","13 years","Stomach ache","Often","Percent","239","units ","0","v665172","1.2.2.2.1","8","","","t","0"
"1990","Austria","","Females","13 years","Stomach ache","Sometimes","Percent","239","units ","0","v665173","1.2.2.2.4","8","","","t","0"
"1990","Austria","","Females","13 years","Stomach ache","Seldom","Percent","239","units ","0","v665174","1.2.2.2.6","34","","","t","0"
"1990","Austria","","Females","13 years","Stomach ache","Never","Percent","239","units ","0","v665175","1.2.2.2.7","51","","","t","0"
"1990","Austria","","Females","13 years","Backache","Often","Percent","239","units ","0","v665684","1.2.2.3.1","8","","","t","0"
"1990","Austria","","Females","13 years","Backache","Sometimes","Percent","239","units ","0","v665685","1.2.2.3.4","7","","","t","0"
"1990","Austria","","Females","13 years","Backache","Seldom","Percent","239","units ","0","v665686","1.2.2.3.6","25","","","t","0"
"1990","Austria","","Females","13 years","Backache","Never","Percent","239","units ","0","v665687","1.2.2.3.7","60","","","t","0"
"1990","Austria","","Females","13 years","Feeling low (depressed)","Often","Percent","239","units ","0","v666212","1.2.2.4.1","5","","","t","0"
"1990","Austria","","Females","13 years","Feeling low (depressed)","Sometimes","Percent","239","units ","0","v666213","1.2.2.4.4","6","","","t","0"
"1990","Austria","","Females","13 years","Feeling low (depressed)","Seldom","Percent","239","units ","0","v666214","1.2.2.4.6","25","","","t","0"
"1990","Austria","","Females","13 years","Feeling low (depressed)","Never","Percent","239","units ","0","v666215","1.2.2.4.7","64","","","t","0"
"1990","Austria","","Females","13 years","Bad temper (irritability)","Often","Percent","239","units ","0","v666740","1.2.2.5.1","10","","","t","0"
"1990","Austria","","Females","13 years","Bad temper (irritability)","Sometimes","Percent","239","units ","0","v666741","1.2.2.5.4","19","","","t","0"
"1990","Austria","","Females","13 years","Bad temper (irritability)","Seldom","Percent","239","units ","0","v666742","1.2.2.5.6","37","","","t","0"
"1990","Austria","","Females","13 years","Bad temper (irritability)","Never","Percent","239","units ","0","v666743","1.2.2.5.7","34","","","t","0"
"1990","Austria","","Females","13 years","Feeling nervous","Often","Percent","239","units ","0","v667276","1.2.2.6.1","11","","","t","0"
"1990","Austria","","Females","13 years","Feeling nervous","Sometimes","Percent","239","units ","0","v667277","1.2.2.6.4","15","","","t","0"
"1990","Austria","","Females","13 years","Feeling nervous","Seldom","Percent","239","units ","0","v667278","1.2.2.6.6","26","","","t","0"
"1990","Austria","","Females","13 years","Feeling nervous","Never","Percent","239","units ","0","v667279","1.2.2.6.7","47","","","t","0"
"1990","Austria","","Females","13 years","Difficulty getting to sleep","Often","Percent","239","units ","0","v667828","1.2.2.7.1","14","","","t","0"
"1990","Austria","","Females","13 years","Difficulty getting to sleep","Sometimes","Percent","239","units ","0","v667829","1.2.2.7.4","10","","","t","0"
"1990","Austria","","Females","13 years","Difficulty getting to sleep","Seldom","Percent","239","units ","0","v667830","1.2.2.7.6","21","","","t","0"
"1990","Austria","","Females","13 years","Difficulty getting to sleep","Never","Percent","239","units ","0","v667831","1.2.2.7.7","55","","","t","0"
"1990","Austria","","Females","13 years","Feeling dizzy","Often","Percent","239","units ","0","v668380","1.2.2.8.1","10","","","t","0"
"1990","Austria","","Females","13 years","Feeling dizzy","Sometimes","Percent","239","units ","0","v668381","1.2.2.8.4","6","","","t","0"
"1990","Austria","","Females","13 years","Feeling dizzy","Seldom","Percent","239","units ","0","v668382","1.2.2.8.6","22","","","t","0"
"1990","Austria","","Females","13 years","Feeling dizzy","Never","Percent","239","units ","0","v668383","1.2.2.8.7","62","","","t","0"
"1990","Austria","","Females","13 years","Feeling tired in the morning","4 or more times a week","Percent","239","units ","0","v668927","1.2.2.9.2","27","","","","0"
"1990","Austria","","Females","13 years","Feeling tired in the morning","1 to 3 times a week","Percent","239","units ","0","v668926","1.2.2.9.3","16","","","","0"
"1990","Austria","","Females","13 years","Feeling tired in the morning","Once in a while","Percent","239","units ","0","v668925","1.2.2.9.5","44","","","","0"
"1990","Austria","","Females","13 years","Feeling tired in the morning","Seldom/never","Percent","239","units ","0","v668924","1.2.2.9.8","13","","","","0"
"1990","Austria","","Females","15 years","Headache","Often","Percent","239","units ","0","v664820","1.2.3.1.1","15","","","t","0"
"1990","Austria","","Females","15 years","Headache","Sometimes","Percent","239","units ","0","v664821","1.2.3.1.4","13","","","t","0"
"1990","Austria","","Females","15 years","Headache","Seldom","Percent","239","units ","0","v664822","1.2.3.1.6","39","","","t","0"
"1990","Austria","","Females","15 years","Headache","Never","Percent","239","units ","0","v664823","1.2.3.1.7","33","","","t","0"
"1990","Austria","","Females","15 years","Stomach ache","Often","Percent","239","units ","0","v665340","1.2.3.2.1","5","","","t","0"
"1990","Austria","","Females","15 years","Stomach ache","Sometimes","Percent","239","units ","0","v665341","1.2.3.2.4","8","","","t","0"
"1990","Austria","","Females","15 years","Stomach ache","Seldom","Percent","239","units ","0","v665342","1.2.3.2.6","32","","","t","0"
"1990","Austria","","Females","15 years","Stomach ache","Never","Percent","239","units ","0","v665343","1.2.3.2.7","55","","","t","0"
"1990","Austria","","Females","15 years","Backache","Often","Percent","239","units ","0","v665860","1.2.3.3.1","8","","","t","0"
"1990","Austria","","Females","15 years","Backache","Sometimes","Percent","239","units ","0","v665861","1.2.3.3.4","9","","","t","0"
"1990","Austria","","Females","15 years","Backache","Seldom","Percent","239","units ","0","v665862","1.2.3.3.6","33","","","t","0"
"1990","Austria","","Females","15 years","Backache","Never","Percent","239","units ","0","v665863","1.2.3.3.7","51","","","t","0"
"1990","Austria","","Females","15 years","Feeling low (depressed)","Often","Percent","239","units ","0","v666388","1.2.3.4.1","4","","","t","0"
"1990","Austria","","Females","15 years","Feeling low (depressed)","Sometimes","Percent","239","units ","0","v666389","1.2.3.4.4","5","","","t","0"
"1990","Austria","","Females","15 years","Feeling low (depressed)","Seldom","Percent","239","units ","0","v666390","1.2.3.4.6","29","","","t","0"
"1990","Austria","","Females","15 years","Feeling low (depressed)","Never","Percent","239","units ","0","v666391","1.2.3.4.7","62","","","t","0"
"1990","Austria","","Females","15 years","Bad temper (irritability)","Often","Percent","239","units ","0","v666916","1.2.3.5.1","12","","","t","0"
"1990","Austria","","Females","15 years","Bad temper (irritability)","Sometimes","Percent","239","units ","0","v666917","1.2.3.5.4","20","","","t","0"
"1990","Austria","","Females","15 years","Bad temper (irritability)","Seldom","Percent","239","units ","0","v666918","1.2.3.5.6","42","","","t","0"
"1990","Austria","","Females","15 years","Bad temper (irritability)","Never","Percent","239","units ","0","v666919","1.2.3.5.7","25","","","t","0"
"1990","Austria","","Females","15 years","Feeling nervous","Often","Percent","239","units ","0","v667460","1.2.3.6.1","11","","","t","0"
"1990","Austria","","Females","15 years","Feeling nervous","Sometimes","Percent","239","units ","0","v667461","1.2.3.6.4","17","","","t","0"
"1990","Austria","","Females","15 years","Feeling nervous","Seldom","Percent","239","units ","0","v667462","1.2.3.6.6","31","","","t","0"
"1990","Austria","","Females","15 years","Feeling nervous","Never","Percent","239","units ","0","v667463","1.2.3.6.7","41","","","t","0"
"1990","Austria","","Females","15 years","Difficulty getting to sleep","Often","Percent","239","units ","0","v668012","1.2.3.7.1","11","","","t","0"
"1990","Austria","","Females","15 years","Difficulty getting to sleep","Sometimes","Percent","239","units ","0","v668013","1.2.3.7.4","10","","","t","0"
"1990","Austria","","Females","15 years","Difficulty getting to sleep","Seldom","Percent","239","units ","0","v668014","1.2.3.7.6","23","","","t","0"
"1990","Austria","","Females","15 years","Difficulty getting to sleep","Never","Percent","239","units ","0","v668015","1.2.3.7.7","55","","","t","0"
"1990","Austria","","Females","15 years","Feeling dizzy","Often","Percent","239","units ","0","v668564","1.2.3.8.1","8","","","t","0"
"1990","Austria","","Females","15 years","Feeling dizzy","Sometimes","Percent","239","units ","0","v668565","1.2.3.8.4","9","","","t","0"
"1990","Austria","","Females","15 years","Feeling dizzy","Seldom","Percent","239","units ","0","v668566","1.2.3.8.6","24","","","t","0"
"1990","Austria","","Females","15 years","Feeling dizzy","Never","Percent","239","units ","0","v668567","1.2.3.8.7","58","","","t","0"
"1990","Austria","","Females","15 years","Feeling tired in the morning","4 or more times a week","Percent","239","units ","0","v669103","1.2.3.9.2","26","","","","0"
"1990","Austria","","Females","15 years","Feeling tired in the morning","1 to 3 times a week","Percent","239","units ","0","v669102","1.2.3.9.3","21","","","","0"
"1990","Austria","","Females","15 years","Feeling tired in the morning","Once in a while","Percent","239","units ","0","v669101","1.2.3.9.5","43","","","","0"
"1990","Austria","","Females","15 years","Feeling tired in the morning","Seldom/never","Percent","239","units ","0","v669100","1.2.3.9.8","10","","","","0"
"1990","Belgium","","Males","11 years","Headache","Often","Percent","239","units ","0","v664536","2.1.1.1.1","14","","","t","0"
"1990","Belgium","","Males","11 years","Headache","Sometimes","Percent","239","units ","0","v664537","2.1.1.1.4","31","","","t","0"
